Time,Voltage,Time,,,,,,,,
17:51:03.543,2.31,63.543,,,,,,,,
17:51:03.613,2.31,63.613,,,,,,,,
17:51:03.646,2.3,63.646,,,,,,,,
17:51:03.713,2.3,63.713,,,,,,,,
17:51:03.751,2.3,63.751,,,,,,,,
17:51:03.819,2.3,63.819,,,,,,,,
17:51:03.852,2.3,63.852,,,,,,,,
17:51:03.888,2.3,63.888,,,,,,,,
17:51:03.960,2.31,63.96,,,,,,,,
17:51:03.994,2.31,63.994,,,,,,,,
17:51:04.060,2.31,64.06,,,,,,,,
17:51:04.095,2.32,64.095,,,,,,,,
17:51:04.166,2.32,64.166,,,,,,,,
17:51:04.203,2.32,64.203,,,,,,,,
17:51:04.237,2.32,64.237,,,,,,,,
17:51:04.309,2.33,64.309,,,,,,,,
17:51:04.346,2.34,64.346,,,,,,,,
17:51:04.415,2.35,64.415,,,,,,,,
17:51:04.448,2.35,64.448,,,,,,,,
17:51:04.518,2.36,64.518,,,,,,,,
17:51:04.553,2.36,64.553,,,,,,,,
17:51:04.619,2.36,64.619,,,,,,,,
17:51:04.652,2.36,64.652,,,,,,,,
17:51:04.690,2.37,64.69,,,,,,,,
17:51:04.761,2.37,64.761,,,,,,,,
17:51:04.794,2.37,64.794,,,,,,,,
17:51:04.865,2.37,64.865,,,,,,,,
17:51:04.902,2.37,64.902,,,,,,,,
17:51:04.971,2.37,64.971,,,,,,,,
17:51:05.005,2.37,65.005,,,,,,,,
17:51:05.039,2.37,65.039,,,,,,,,
17:51:05.105,2.37,65.105,,,,,,,,
17:51:05.143,2.37,65.143,,,,,,,,
17:51:05.213,2.37,65.213,,,,,,,,
17:51:05.250,2.37,65.25,,,,,,,,
17:51:05.321,2.37,65.321,,,,,,,,
17:51:05.355,2.37,65.355,,,,,,,,
